question_no,expected,received
695,Taylor Swift,Taylor Swift
1640,no,No
1082,Consistent,Consistent
165,Yes,Yes
1613,Yes,"Yes, both parts are confirmed. The TalkSport article suggests the Glazers could get DOUBLE the £4.5bn Todd Boehly invested in Chelsea for Manchester United, and the Sporting News articles confirm Manchester United's elimination from European competitions after a 1-0 defeat by Bayern Munich."
1579,Insufficient information.,Insufficient Information
174,Yes,Yes
233,no,Insufficient Information
2548,Yes,Yes
1212,no,Insufficient Information
319,Yes,Yes
2189,no,"No, the Yardbarker article does not suggest that Kelce's performance against the Raiders will be worse than his past productivity; it states his 81.3 average receiving yards per game against the Raiders since 2019 suggests he is ""in line for a productive outing."""
476,no,No
2007,Google,Google
608,Yes,Insufficient Information
409,no,Yes
2159,Yes,Insufficient Information
341,Yes,Yes
2397,no,"No. The TechCrunch article suggests the opposite — that Deft needs to change users' default search behavior, not maintain it. The Verge article does indicate Apple has not sought an alternative to Google as the default search engine."
1063,Insufficient information.,Insufficient Information
1188,Alameda Research,Alameda Research
1739,Insufficient information.,Insufficient Information
57,Tyreek Hill,Tyreek Hill
881,Yes,Yes
258,no,Insufficient Information
362,no,No
1957,Sam Bankman-Fried,Insufficient Information
1138,Sam Altman,Sam Altman
995,Sam Bankman-Fried,Sam Bankman-Fried
1727,Yes,Yes
1677,Insufficient information.,Insufficient Information
2276,Sam Bankman-Fried,Sam Bankman-Fried
764,Yes,Yes
201,no,No
1379,no,Insufficient Information
45,Alameda Research,Alameda Research
657,Insufficient information.,Insufficient Information
1951,Yes,Yes
2137,Win,Win
1353,Yes,Yes
1214,no,Insufficient Information
1147,Sam Bankman-Fried,Sam Bankman-Fried
2044,Consistent,Consistent
61,Lionel Messi,Lionel Messi
1480,Insufficient information.,Insufficient Information
677,Insufficient information.,Insufficient Information
1988,Yes,Insufficient Information
2295,Consistent,Consistent
692,Google,Google
2505,Sam Bankman-Fried,Sam Bankman-Fried
1360,no,Insufficient Information
2410,Similar,The portrayals are different.
2184,Yes,Yes
1166,Yes,Insufficient Information
1894,Yes,Yes
1900,Yes,Insufficient Information
1920,Insufficient information.,Insufficient Information
1962,Sam Bankman-Fried,Sam Bankman-Fried
1195,Sam Bankman-Fried,Sam Bankman-Fried
1273,Insufficient information.,Insufficient Information
2129,Yes,Insufficient Information
105,Yes,Yes
1644,Sam Bankman-Fried,Sam Bankman-Fried
1732,Yes,Yes
908,no,No
207,Sam Bankman-Fried,Sam Bankman-Fried
2053,no,No
1323,Yes,No
117,Google,Google
486,Yes,Yes
681,Insufficient information.,Insufficient Information
1699,no,Insufficient Information
2131,Sportsbooks,Sportsbooks
1040,no,No
2529,Yes,Yes
384,Google,Google
1384,Sam Bankman-Fried,Sam Bankman-Fried
747,no,Insufficient Information
576,Tyreek Hill,Tyreek Hill
861,Google,Google
1811,Change,"Yes, The Age reported a relaxation of bond yields when Wall Street rebounded, indicating a change in the behavior of Treasury yields — they shifted from rising (as reported by The Sydney Morning Herald on October 1st) to easing (as reported by The Age on October 4th)."
733,Insufficient information.,Insufficient Information
2260,Yes,Yes
327,Yes,Insufficient Information
17,Amazon,Amazon
2265,Caesars Sportsbook,Caesars Sportsbook
1245,Insufficient information.,Insufficient Information
1491,Sam Bankman-Fried,Sam Bankman-Fried
2540,Sam Bankman-Fried,Sam Bankman-Fried
1548,no,Yes
83,no,No
393,Insufficient information.,Insufficient Information
517,Yes,Yes
1740,no,No
1637,Yes,Yes
388,Google,Google
2225,Google,Google
1319,no,Yes
1357,Sam Bankman-Fried,Sam Bankman-Fried
858,Yes,"No, because The Guardian article focuses on Europa Conference League football (Villa vs AZ Alkmaar and Liverpool vs Toulouse), not on Tyreek Hill's performance in a specific game."
